id	itemName	itemType	maxStack	sellPrice	weight	iconName	description	equipSlot	attackType	durability	effectColorHex	effectPrefabName	meleeDamage	meleeKnockback	meleeAttackSpeed	meleeRange	meleeSwingAngle	meleeTelegraphSprite	projectileDamage	projectileKnockback	projectileAttackSpeed	projectileSpeed	projectilePrefabName	projectileSprite	projectileCount	projectileSpread	raycastDamage	raycastKnockback	raycastAttackSpeed	raycastRange	raycastBoxWidth	raycastBeamCount	raycastSpread
RustyDagger	녹슨 단검	Equipment	1	10	1	Icon_RustyDagger	날이 무뎌졌지만 여전히 빠르다.	MainHand	Melee	40	#FFFFFF	SlashEffect	6	2	2.2	1.6	70	TelegraphCone_70															
SteelDagger	강철 단검	Equipment	1	30	1.2	Icon_SteelDagger	가볍고 손에 익는다.	MainHand	Melee	80	#DCE6FF	SlashEffect	10	3	2.2	1.7	70	TelegraphCone_70															
ShortSword	숏소드	Equipment	1	45	3	Icon_ShortSword	균형 잡힌 기본 검.	MainHand	Melee	100	#DCE6FF	SlashEffect	14	7	1.3	2.2	100	TelegraphCone_100															
LongSword	롱소드	Equipment	1	80	4.5	Icon_LongSword	길고 무겁다. 한 방이 묵직하다.	MainHand	Melee	120	#DCE6FF	SlashEffect	20	10	1	2.6	100	TelegraphCone_100															
FlameSword	화염검	Equipment	1	180	4.5	Icon_FlameSword	칼날에서 열기가 피어오른다.	MainHand	Melee	140	#FFB050	SlashEffect	28	10	1	2.6	100	TelegraphCone_100															
BattleAxe	전투 도끼	Equipment	1	110	6	Icon_BattleAxe	넓게 쓸어 넘긴다.	MainHand	Melee|Projectile	110	#FFE0A0	SlashEffect	5	1	0.5	1	45	TelegraphCone_45	5	1	1	5			3	90							
GreatAxe	대도끼	Equipment	1	200	8.5	Icon_GreatAxe	느리지만 맞으면 끝난다.	MainHand	Melee	130	#FFE0A0	SlashEffect	36	18	0.6	2.5	130	TelegraphCone_130															
Spear	창	Equipment	1	90	4	Icon_Spear	좁고 길게 찌른다.	MainHand	Melee	100	#E0F0FF	SlashEffect	18	8	1.1	3.2	45	TelegraphCone_45															
ShortBow	단궁	Equipment	1	70	2	Icon_ShortBow	가볍게 쏜다.	MainHand	Projectile	80	#FFFFFF								12	4	1.4	14	ArrowProjectile		1	0							
LongBow	장궁	Equipment	1	140	3	Icon_LongBow	멀리, 강하게.	MainHand	Projectile	100	#FFFFFF								20	6	1	18	ArrowProjectile		1	0							
ApprenticeStaff	견습 지팡이	Equipment	1	120	2.5	Icon_ApprenticeStaff	마력 구슬을 날린다.	MainHand	Projectile	90	#C8A0FF								16	5	1.2	9	MagicOrbProjectile		1	0							
